timestamp,freq_mhz,perf_pct,usage_pct,temp_c
2026-02-25 07:41:13,2500,140.7,96.7,-1
2026-02-25 07:41:19,2500,145.4,94.6,98
2026-02-25 07:41:21,2500,141.9,99.3,-1
2026-02-25 07:41:27,2500,154.7,80,98
2026-02-25 07:41:29,2500,142.7,81.5,-1
2026-02-25 07:41:35,2500,155.3,65.2,98
2026-02-25 07:41:38,2500,152.4,78.1,-1
2026-02-25 07:41:44,2500,152.9,37.9,98
2026-02-25 07:41:46,2500,161.1,31.7,-1
2026-02-25 07:41:52,2500,146.5,49.8,98
2026-02-25 07:41:54,2500,146.9,37.1,-1
2026-02-25 07:42:00,2500,154.6,25.9,93
2026-02-25 07:42:03,2500,159.1,41.5,-1
2026-02-25 07:42:09,2500,149.8,53.1,100
2026-02-25 07:42:11,2500,154,35.7,-1
2026-02-25 07:42:17,2500,149.2,31.1,91
2026-02-25 07:42:19,2500,152.4,33.1,-1
2026-02-25 07:42:25,2500,161.2,38.8,94
2026-02-25 07:42:28,2500,155,28.9,-1
2026-02-25 07:42:33,2500,159.5,33.5,98
2026-02-25 07:42:36,2500,160.8,49.7,-1
2026-02-25 07:42:42,2500,152,72,99
2026-02-25 07:42:44,2500,161.9,58.4,-1
2026-02-25 07:42:50,2500,157.8,11.4,87
2026-02-25 07:42:53,2500,160.2,15.6,-1
2026-02-25 07:42:58,2500,169.6,9.8,88
2026-02-25 07:43:01,2500,160.6,8.4,-1
2026-02-25 07:43:06,2500,160.8,15.4,81
2026-02-25 07:43:09,2500,160.9,27.6,-1
2026-02-25 07:43:15,2500,162.3,14.5,78
2026-02-25 07:43:17,2500,152.3,22.3,-1
2026-02-25 07:43:23,2500,154.8,33.2,100
2026-02-25 07:43:26,2500,145,22.5,-1
2026-02-25 07:43:31,2500,152.5,29.9,93
2026-02-25 07:43:34,2500,157.1,21.9,-1
2026-02-25 07:43:39,2500,153.8,17.9,94
2026-02-25 07:43:42,2500,156,18,-1
2026-02-25 07:43:47,2500,147.1,99.8,96
2026-02-25 07:43:50,2500,146.8,99.8,-1
2026-02-25 07:43:56,2500,146.6,99.8,96
2026-02-25 07:43:59,2500,144,97.6,-1
2026-02-25 07:44:04,2500,150.7,71.5,96
2026-02-25 07:44:08,2500,143.5,95.2,-1
2026-02-25 07:44:12,2500,148,94.1,100
2026-02-25 07:44:16,2500,149.3,92.5,-1
2026-02-25 07:44:21,2500,149.5,88.3,97
2026-02-25 07:44:25,2500,145.8,98.2,-1
2026-02-25 07:44:29,2500,148.1,54.2,89
2026-02-25 07:44:33,2500,150.4,95.8,-1
2026-02-25 07:44:37,2500,144.4,99.6,97
2026-02-25 07:44:41,2500,145.5,93,-1
2026-02-25 07:44:46,2500,141.9,99.5,94
2026-02-25 07:44:50,2500,143.4,91.7,-1
2026-02-25 07:44:54,2500,143.4,91.4,97
2026-02-25 07:44:58,2500,143.5,81,-1
2026-02-25 07:45:02,2500,166.5,65,96
2026-02-25 07:45:07,2500,140.9,99,-1
2026-02-25 07:45:11,2500,150.1,81.6,96
2026-02-25 07:45:15,2500,153.3,67.1,-1
2026-02-25 07:45:19,2500,147.1,45,91
2026-02-25 07:45:23,2500,161.7,56.7,-1
2026-02-25 07:45:27,2500,141.6,60.6,97
